date,Excess_Market_Return,smb,HML,RMW,CMA,Please cite the following paper if you use the data:
30-Apr-96,0.027179877,0.005068967,0.003175071,-0.024042872,0.02049186,
31-May-96,-0.020030624,0.048817915,-0.008556328,-0.037666584,-0.010882878,
30-Jun-96,-0.021609873,-0.008151586,0.034830148,0.039391833,-0.004347843,
31-Jul-96,-0.031847923,-0.033503614,0.008141301,0.063383392,-0.007477808,
31-Aug-96,0.03308837,0.006893486,0.001915739,-0.011084746,0.008177926,
30-Sep-96,0.017148509,0.013409881,0.022570177,0.052927021,0.005280834,
31-Oct-96,0.023870242,0.00103881,0.012975513,0.045818171,0.012035005,
30-Nov-96,0.016501514,0.030585431,-0.021775191,0.007203373,-0.030603504,
31-Dec-96,0.016794399,-0.004406112,0.018248988,0.027507196,0.020821008,
31-Jan-97,-0.00931721,0.016516827,0.024672251,0.012042134,-0.000627939,
28-Feb-97,0.010107488,0.024638076,0.014395695,-0.000894037,0.00624053,
31-Mar-97,-0.010343777,-0.020538382,0.000338025,0.068194148,0.018406605,
30-Apr-97,0.014331142,-0.054510854,0.013500616,0.068208947,-0.006152793,
31-May-97,0.051501005,-0.006398317,-0.012983558,-0.007632093,-0.010919505,
30-Jun-97,0.032789774,-0.060161829,0.022940009,0.06649281,0.019457131,
31-Jul-97,-0.004246116,-0.008233804,-0.001170373,0.052480692,0.025866616,
31-Aug-97,-0.048632743,0.040856858,-0.005266057,0.029419835,0.034335837,
30-Sep-97,0.062983301,-0.041827647,-0.008388779,0.032631563,0.028444667,
31-Oct-97,-0.101015218,-0.028714092,0.010447511,0.101540726,0.061013808,
30-Nov-97,-0.002752252,-0.03033591,-0.034518326,0.088748818,0.074357485,
31-Dec-97,0.051466563,-0.030962003,0.016689597,0.001379876,-0.018667117,
31-Jan-98,0.00332846,-0.025923556,0.011143891,-0.028221003,-0.030286211,
28-Feb-98,0.018142918,-0.017438,-0.013123803,0.022128992,0.037826933,
31-Mar-98,0.033443635,-0.037370943,0.001767643,0.024331697,0.058019571,
30-Apr-98,0.011522196,-0.027999853,0.009089444,0.006303995,0.006292342,
31-May-98,-0.010183157,-0.029146472,-0.042099281,0.047211154,0.029374538,
30-Jun-98,-0.033685993,-0.08475346,0.005132961,0.045727014,0.003417598,
31-Jul-98,0.012624473,0.066560546,0.037924867,-0.065989888,0.030238026,
31-Aug-98,-0.076921303,-0.017245411,-0.038000753,0.098836497,0.046539723,
30-Sep-98,0.03249742,-0.016829157,0.075338702,-0.049124782,0.007692155,
31-Oct-98,0.019758813,-0.038279013,0.001007256,-0.016021538,-0.038407462,
30-Nov-98,0.045032585,0.032708441,0.008788987,0.008332947,0.012103908,
31-Dec-98,0.019714466,0.027651757,-0.025606346,-0.023792172,0.100073794,
31-Jan-99,0.013646583,0.011549366,0.005492901,-0.019058181,0.040016091,
28-Feb-99,-0.000108163,0.014124722,-0.010653282,0.034879129,0.022753734,
31-Mar-99,0.025447331,-0.022914841,0.029047539,0.009065936,0.017259762,
30-Apr-99,0.042067877,0.013632272,0.090450897,-0.026150394,-0.015387901,
31-May-99,-0.064671617,0.01921869,-0.023124499,0.024830894,-0.005330357,
30-Jun-99,0.018125819,-0.059635554,0.002752302,-0.010080405,0.014306398,
31-Jul-99,0.012630437,0.04637164,0.020231858,-0.015310266,0.011144275,
31-Aug-99,-0.013569701,0.0214704,-0.031578504,0.016477845,0.016283913,
30-Sep-99,-0.008440137,0.02427745,-0.007321961,-0.02102653,-0.031533532,
31-Oct-99,-0.005069506,0.053673004,-0.012984856,-0.014044393,0.016877381,
30-Nov-99,0.053889956,-0.015621058,-0.028259652,-0.022866547,0.002675165,
31-Dec-99,0.031106184,0.022842169,0.026945647,0.009333493,0.015787049,
31-Jan-00,-0.032123914,0.033893211,0.024972054,-0.065773097,0.005268129,
29-Feb-00,0.00289963,-0.004467458,-0.004867084,-0.088998653,-0.00445489,
